DATE,COST
2011-11-26,null
2011-11-27,null
2011-11-28,1101
2011-11-29,1093
2011-11-30,1106
2011-12-01,null
2011-12-02,1106
2011-12-03,null
2011-12-04,null
2011-12-05,1189
2011-12-06,1181
2011-12-07,1181
2011-12-08,1141
2011-12-09,1132
2011-12-10,null
2011-12-11,null
2011-12-12,1149
2011-12-13,1133
2011-12-14,1133
2011-12-15,1193
2011-12-16,1214
2011-12-17,null
2011-12-18,null
2011-12-19,1241
2011-12-20,1241
2011-12-21,1241
2011-12-22,1316
2011-12-23,1308
2011-12-24,null
2011-12-25,null
2011-12-26,1251
2011-12-27,1282
2011-12-28,1323
2011-12-29,1338
2011-12-30,1326
2011-12-31,null
2012-01-01,null
2012-01-02,1319
2012-01-03,1319
2012-01-04,1319
2012-01-05,1338
2012-01-06,1338
2012-01-07,null
2012-01-08,null
2012-01-09,1350
2012-01-10,1347
2012-01-11,1340
2012-01-12,1192
2012-01-13,1194
2012-01-14,null
2012-01-15,null
2012-01-16,1190
2012-01-17,1240
2012-01-18,1240
2012-01-19,1288
2012-01-20,1374
2012-01-21,null
2012-01-22,null
2012-01-23,null
2012-01-24,null
2012-01-25,1377
2012-01-26,1427
2012-01-27,1431
2012-01-28,null
2012-01-29,null
2012-01-30,1386
2012-01-31,1374
2012-02-01,1510
2012-02-02,1522
2012-02-03,1522
2012-02-04,null
2012-02-05,null
2012-02-06,1488
2012-02-07,1511
2012-02-08,1576
2012-02-09,1598
2012-02-10,1629
2012-02-11,null
2012-02-12,null
2012-02-13,1679
2012-02-14,1676
2012-02-15,1732
2012-02-16,1779
2012-02-17,1811
2012-02-18,null
2012-02-19,null
2012-02-20,1862
2012-02-21,1866
2012-02-22,2176
2012-02-23,2398
2012-02-24,2395
2012-02-25,null
2012-02-26,null
2012-02-27,2562
2012-02-28,2636
2012-02-29,2662
2012-03-01,null
2012-03-02,2748
2012-03-03,null
2012-03-04,null
2012-03-05,2829
2012-03-06,2926
2012-03-07,2953
2012-03-08,2996
2012-03-09,2971
2012-03-10,null
2012-03-11,null
2012-03-12,2993
2012-03-13,3011
2012-03-14,3133
2012-03-15,3201
2012-03-16,3253
2012-03-17,null
2012-03-18,null
2012-03-19,3290
2012-03-20,3330
2012-03-21,3322
2012-03-22,3302
2012-03-23,3290
2012-03-24,null
2012-03-25,null
2012-03-26,3337
2012-03-27,3337
2012-03-28,3330
2012-03-29,3331
2012-03-30,3353
2012-03-31,null
2012-04-01,null
2012-04-02,3352
2012-04-03,3325
2012-04-04,3318
2012-04-05,3300
2012-04-06,3363
2012-04-07,null
2012-04-08,null
2012-04-09,3355
2012-04-10,3399
2012-04-11,null
2012-04-12,3385
2012-04-13,3425
2012-04-14,null
2012-04-15,null
2012-04-16,3468
2012-04-17,3495
2012-04-18,3494
2012-04-19,3473
2012-04-20,3471
2012-04-21,null
2012-04-22,null
2012-04-23,3452
2012-04-24,3462
2012-04-25,3458
2012-04-26,3451
2012-04-27,3461
2012-04-28,null
2012-04-29,null
2012-04-30,3462
2012-05-01,null
2012-05-02,3360
2012-05-03,3384
2012-05-04,3260
2012-05-05,null
2012-05-06,null
2012-05-07,3199
2012-05-08,3058
2012-05-09,2931
2012-05-10,2764
2012-05-11,2695
2012-05-12,null
2012-05-13,null
2012-05-14,2632
2012-05-15,2613
2012-05-16,2540
2012-05-17,2587
2012-05-18,2576
2012-05-19,null
2012-05-20,null
2012-05-21,2586
2012-05-22,2551
2012-05-23,2512
2012-05-24,2366
2012-05-25,2346
2012-05-26,null
2012-05-27,null
2012-05-28,null
2012-05-29,2304
2012-05-30,2288
2012-05-31,2305
2012-06-01,2310
2012-06-02,null
2012-06-03,null
2012-06-04,2298
2012-06-05,2294
2012-06-06,null
2012-06-07,2165
2012-06-08,2158
2012-06-09,null
2012-06-10,null
2012-06-11,2142
2012-06-12,2093
2012-06-13,2130
2012-06-14,2139
2012-06-15,2066
2012-06-16,null
2012-06-17,null
2012-06-18,2041
2012-06-19,2068
2012-06-20,2060
2012-06-21,2060
2012-06-22,2060
2012-06-23,null
2012-06-24,null
2012-06-25,2116
2012-06-26,2239
2012-06-27,2358
2012-06-28,2510
2012-06-29,2597
2012-06-30,null
2012-07-01,null
2012-07-02,2689
2012-07-03,2782
2012-07-04,2793
2012-07-05,2960
2012-07-06,2978
2012-07-07,null
2012-07-08,null
2012-07-09,2996
2012-07-10,2991
2012-07-11,2921
2012-07-12,2716
2012-07-13,2675
2012-07-14,null
2012-07-15,null
2012-07-16,2671
2012-07-17,2659
2012-07-18,2686
2012-07-19,2850
2012-07-20,2849
2012-07-21,null
2012-07-22,null
2012-07-23,2800
2012-07-24,2806
2012-07-25,2773
2012-07-26,2775
2012-07-27,2809
2012-07-28,null
2012-07-29,null
2012-07-30,2837
2012-07-31,2772
2012-08-01,2764
2012-08-02,2522
2012-08-03,2533
2012-08-04,null
2012-08-05,null
2012-08-06,2550
2012-08-07,2600
2012-08-08,2752
2012-08-09,2883
2012-08-10,2891
2012-08-11,null
2012-08-12,null
2012-08-13,2984
2012-08-14,3033
2012-08-15,null
2012-08-16,2972
2012-08-17,2970
2012-08-18,null
2012-08-19,null
2012-08-20,2991
2012-08-21,2977
2012-08-22,2977
2012-08-23,2995
2012-08-24,2968
2012-08-25,null
2012-08-26,null
2012-08-27,3023
2012-08-28,3058
2012-08-29,3179
2012-08-30,3406
2012-08-31,3394
2012-09-01,null
2012-09-02,null
2012-09-03,3395
2012-09-04,3423
2012-09-05,3457
2012-09-06,3393
2012-09-07,3366
2012-09-08,null
2012-09-09,null
2012-09-10,3434
2012-09-11,3479
2012-09-12,3495
2012-09-13,3492
2012-09-14,3490
2012-09-15,null
2012-09-16,null
2012-09-17,3462
2012-09-18,3507
2012-09-19,3622
2012-09-20,3747
2012-09-21,3784
2012-09-22,null
2012-09-23,null
2012-09-24,3999
2012-09-25,3851
2012-09-26,3784
2012-09-27,3817
2012-09-28,3849
2012-09-29,null
2012-09-30,null
2012-10-01,null
2012-10-02,3938
2012-10-03,null
2012-10-04,3997
2012-10-05,3998
2012-10-06,null
2012-10-07,null
2012-10-08,3983
2012-10-09,3909
2012-10-10,3699
2012-10-11,3673
2012-10-12,3618
2012-10-13,null
2012-10-14,null
2012-10-15,3689
2012-10-16,3658
2012-10-17,3571
2012-10-18,3705
2012-10-19,3689
2012-10-20,null
2012-10-21,null
2012-10-22,3645
2012-10-23,3623
2012-10-24,3619
2012-10-25,3468
2012-10-26,3434
2012-10-27,null
2012-10-28,null
2012-10-29,3372
2012-10-30,3325
2012-10-31,3315
2012-11-01,3109
2012-11-02,3035
2012-11-03,null
2012-11-04,null
2012-11-05,3198
2012-11-06,3134
2012-11-07,3172
2012-11-08,2824
2012-11-09,2791
2012-11-10,null
2012-11-11,null
2012-11-12,2913
2012-11-13,2935
2012-11-14,2886
2012-11-15,2819
2012-11-16,2844
2012-11-17,null
2012-11-18,null
2012-11-19,2820
2012-11-20,2820
2012-11-21,2765
2012-11-22,2677
2012-11-23,2668
2012-11-24,null
